area,year,pop,15_64,in_mig,out_mig,inc,emp,jun_high,sen_high,jun_col,sen_col,lf_tot,lf_m,lf_f,unemp,prim_emp,sec_emp,ter_emp
20205,2000,"110,589","67,651",-,-,"152,216,719",***,"30,036","41,493","8,975","7,534","62,327","34,923","27,404","1,797","6,535","22,233","31,703"
20206,2000,"53,858","35,367","2,821","4,337","85,549,902",***,"9,774","21,152","5,815","6,168","30,639","17,947","12,692","1,061","1,128","12,367","16,076"
20207,2000,"54,207","34,988","1,820","2,260","75,942,280",***,"12,457","21,505","4,929","4,001","30,379","17,088","13,291",914,"3,619","11,384","14,421"
20208,2000,"46,158","29,297","1,906","2,311","56,747,892",***,"9,539","18,887","4,177","3,421","24,776","14,762","10,014",902,"2,520","8,865","12,464"
20209,2000,"71,552","44,151",-,-,"100,474,036",***,"15,401","27,998","6,610","6,160","39,957","23,213","16,744","1,236","4,221","15,734","18,706"
20210,2000,"34,338","21,797","1,363","1,924","47,706,951",***,"7,961","13,153","3,113","2,935","19,266","11,006","8,260",480,"1,473","8,270","9,019"
20211,2000,"47,845","29,976",-,-,"60,166,624",***,"12,161","18,211","4,196","2,921","28,594","15,551","13,043",767,"7,164","8,067","12,579"
20212,2000,"33,550","20,686",-,-,"44,759,870",***,"7,871","13,999","2,987","2,280","18,791","10,884","7,907",621,"1,686","6,615","9,861"
20213,2000,"26,420","15,406",753,956,"30,456,463",***,"7,475","9,961","1,947","1,372","15,246","8,391","6,855",325,"3,917","3,944","6,992"
20214,2000,"54,841","36,317","2,688","3,067","79,868,505",***,"10,216","21,291","5,371","5,112","31,668","18,151","13,517",900,"2,822","12,658","15,110"
20215,2000,"67,747","44,947",-,-,"96,166,496",***,"12,179","27,686","6,848","6,750","38,891","22,808","16,083","1,470","3,831","14,373","19,202"
20217,2000,"100,016","61,443",-,-,"126,172,668",***,"20,936","39,381","10,100","7,798","54,229","31,948","22,281","1,936","6,132","20,336","25,803"
20218,2000,"64,549","40,958",-,-,"84,533,944",***,"12,938","26,700","6,176","5,190","35,569","20,180","15,389","1,452","3,412","12,800","17,889"
20219,2000,"30,944","19,402",-,-,"38,972,763",***,"5,981","12,954","2,906","2,394","17,205","9,956","7,249",575,"2,568","6,364","7,689"
20220,2000,"92,864","59,492",-,-,"133,044,087",***,"17,041","39,807","9,594","7,711","52,807","30,126","22,681","1,559","5,855","19,064","26,212"
20303,2000,"5,961","3,325",192,243,"7,413,354",***,"1,742","2,220",543,275,"3,269","1,855","1,414",75,734,940,"1,520"
20304,2000,"4,908","2,883",126,152,"6,773,260",***,"1,195","1,800",490,291,"3,062","1,759","1,303",26,"2,025",193,817
20305,2000,"3,540","2,020",144,138,"5,493,309",***,937,"1,237",314,215,"2,202","1,201","1,001",20,"1,186",145,847
20306,2000,"1,584",926,44,72,"1,513,099",***,636,547,66,93,999,697,302,13,280,445,261
20307,2000,"1,025",482,56,34,"963,735",***,434,278,57,48,495,293,202,20,149,157,168
20309,2000,"13,622","7,806",-,-,"15,291,112",***,"3,737","5,231","1,063",690,"7,314","4,185","3,129",172,"1,395","2,536","3,207"
20321,2000,"16,181","10,550","1,225",964,"23,331,037",***,"3,036","6,326","1,887","1,610","9,041","5,183","3,858",256,390,"1,515","6,870"
20323,2000,"13,412","8,809",870,912,"17,530,904",***,"2,721","5,434","1,325","1,047","7,836","4,600","3,236",244,"1,010","3,053","3,528"
20324,2000,"8,609","5,200",259,320,"10,350,015",***,"1,855","3,611",823,573,"5,096","2,958","2,138",121,"1,058","1,651","2,266"
