"","","","","","A1101","A1302","A5101","A5102","C120110","C2207","E9102","E9103","E9105","E9106","F1101","F110101","F110102","F1107","F2201","F2211","F2221"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population[person]","A1302_Population 15-64 years old[person]","A5101_In-migrants from other prefectures[person]","A5102_Out-migrants to other prefectures[person]","C120110_Taxable income[thousand yen]","C2207_Number of employees[person]","E9102_People having completed elementary or junior high school only[person]","E9103_People having completed up to senior high school[person]","E9105_People having completed up to junior college or equivalent[person]","E9106_People having completed college and universities[person]","F1101_Labour force[person]","F110101_Labour force [male][person]","F110102_Labour force [female][person]","F1107_Unemployed persons[person]","F2201_Persons employed in the primary industry[person]","F2211_Persons employed in the secondary industry[person]","F2221_Persons employed in the tertiary industry[person]"
"2010100000","2010","01512","Hokkaido Hamatombetsu-cho","","4,168","2,516","207","227","4,891,483","***","1,225","1,684","342","261","2,255","1,290","965","101","404","545","1,190"
"2010100000","2010","01513","Hokkaido Nakatombetsu-cho","","1,974","1,057","89","94","1,932,298","***","604","595","165","104","911","509","402","25","169","115","597"
"2010100000","2010","01514","Hokkaido Esashi-cho","","9,125","5,375","299","348","10,709,493","***","2,987","3,531","653","478","5,011","2,785","2,226","123","1,170","1,250","2,465"
"2010100000","2010","01516","Hokkaido Toyotomi-cho","","4,378","2,658","195","261","4,825,456","***","1,420","1,641","363","235","2,414","1,456","958","81","620","393","1,316"
"2010100000","2010","01517","Hokkaido Rebun-cho","","3,078","1,816","144","181","3,463,215","***","1,359","912","268","146","1,957","1,167","790","57","675","239","986"
"2010100000","2010","01518","Hokkaido Rishiri-cho","","2,590","1,465","114","163","2,995,096","***","1,070","847","207","149","1,690","1,009","681","41","539","278","832"
"2010100000","2010","01519","Hokkaido Rishirifuji-cho","","3,037","1,665","134","120","2,903,643","***","1,246","1,011","192","139","1,786","1,052","734","84","491","307","903"
"2010100000","2010","01520","Hokkaido Horonobe-cho","","2,677","1,738","157","163","3,599,113","***","736","955","273","290","1,519","944","575","26","305","275","913"
"2010100000","2010","01543","Hokkaido Bihoro-cho","","21,575","12,903","799","974","23,594,122","***","5,304","9,057","1,658","1,041","10,959","6,296","4,663","435","1,645","2,107","6,500"
"2010100000","2010","01544","Hokkaido Tsubetsu-cho","","5,646","2,964","154","231","5,717,781","***","2,073","2,106","413","268","2,733","1,604","1,129","162","645","583","1,342"
